BeeID,Env,colony,T4travel,T4handling,T4total,T5travel,T5handling,T5total,dTravel,dHandling,dTotal,Flower1search,Flower1handling,Flower1Solve,Flower2search,Flower2handling,Flower2Solve,Cap1 handling,Cap1solve,Cap2handling,Cap2solve
A10,c,a,24.6,12.4,90.2,40.7,27.5,153.3,16.1,15.1,63.1,518,0,no,23.17,2.26,yes,0,no,0,no
A191,s,a,9.6,16.8,99.2,13.8,23,112.6,4.2,6.2,13.4,15.5,2.5,yes,48.69,9.26,yes,6.74,yes,33.45,yes
A28,c,a,28.2,50.5,179.5,14.9,38.8,141.9,-13.3,-11.7,-37.6,75,5.5,yes,59,4,yes,4,yes,6.15,yes
A32,s,a,14.5,51,178.8,72,66.7,250,57.5,15.7,71.2,32,2.3,yes,18.67,7.55,yes,15.7,yes,33.73,yes
A58,c,a,6.7,27.1,93.3,20.2,27.1,145.7,13.5,0,52.4,62,1.78,yes,106.53,3.6,yes,5.24,yes,6.23,yes
A63,s,a,36.6,27.7,141.9,19.5,38.2,134.5,-17.1,10.5,-7.4,47,7,yes,33,4,yes,8.4,yes,12.21,yes
A67,s,a,27.5,52.9,150.7,49.9,75.1,249.3,22.4,22.2,98.6,30,9.9,yes,117.52,1.79,yes,5.51,yes,9,yes
A69,c,a,18,28.2,212,55.1,45.9,328,37.1,17.7,116,52,4.8,yes,49.61,6.34,yes,345,yes,20,yes
A77,c,a,19.2,21.3,150,19,22.5,150.8,-0.2,1.2,0.8,95,3.4,yes,28.04,1.5,yes,13,yes,16.3,no
A9,s,a,44.2,66.5,197.5,51.4,44.2,213.9,7.2,-22.3,16.4,47,1.6,yes,20.31,7.5,yes,9,yes,10,yes
A95,s,a,14.2,41,172.6,23.9,41.3,179.8,9.7,0.3,7.2,17,3.3,yes,5.39,5.22,yes,12,yes,7,yes
A98,c,a,6.4,21.6,202.4,24,57.7,321.8,17.6,36.1,119.4,412,0,no,100.62,7.76,yes,21,yes,8,yes
B182,c,b,39.2,73.3,202,20.8,34.9,79.6,-18.4,-38.4,-122.4,28.44,8.79,yes,75.89,2.67,yes,40.06,no,0,no
B187,c,b,15.5,30.5,163.1,22.5,43.5,208.3,7,13,45.2,18.22,2.75,yes,25.3,1.25,yes,7.41,yes,11.74,yes
B190,s,b,19.9,18.5,130.4,37.6,48.6,183.4,17.7,30.1,53,24.88,5.2,yes,13.89,21.9,no,6.34,yes,28.04,yes
B205,s,b,15.8,18.6,134.5,18.5,23.2,146.8,2.7,4.6,12.3,9,3,yes,544,19,no,8.7,yes,4.64,yes
