BeeID,Env,colony,T4handling,T4total,T5handling,T5total,dTravel,dHandling,dTotal,Flower1search,Flower1handling,Flower1Solve,Flower2search,Flower2handling,Flower2Solve,Cap1 handling,Cap1solve,Cap2handling,Cap2solve,T1_order,T2_order,T3_order,T4_order,T5_order,T1_H,T2_H,T3_H,T4_H,T5_H,T1_T,T2_T,T3_T,T4_T,T5_T,T5_HB
A191,s,a,16.8,99.2,23,112.6,4.2,6.2,13.4,15.5,2.5,yes,48.69,9.26,yes,6.74,yes,33.45,yes,1234,1234,1234,1342,1342,67,22,26,18,20,26,05,09,10,18,
A28,c,a,50.5,179.5,38.8,141.9,-13.3,-11.7,-37.6,75,5.5,yes,59,4,yes,4,yes,6.15,yes,1234,1234,2143,1423,1432,41,77,21,27,31,95,65,49,39,13,
A32,s,a,51,178.8,66.7,250,57.5,15.7,71.2,32,2.3,yes,18.67,7.55,yes,15.7,yes,33.73,yes,1324,,1342,1432,2341,120,,86,47,52,60,,44,17,100,
A58,c,a,27.1,93.3,27.1,145.7,13.5,0,52.4,62,1.78,yes,106.53,3.6,yes,5.24,yes,6.23,yes,1432,1324,1423,123,1432,150,94,42,21,18,133,67,16,04,27,
A63,s,a,27.7,141.9,38.2,134.5,-17.1,10.5,-7.4,47,7,yes,33,4,yes,8.4,yes,12.21,yes,1324,4321,4321,1324,1324,73,45,53,19,27,39,18,24,40,21,
A67,s,a,52.9,150.7,75.1,249.3,22.4,22.2,98.6,30,9.9,yes,117.52,1.79,yes,5.51,yes,9,yes,3214,3142,3124,312,4132,208,40,74,45,58,67,11,39,29,38,
A77,c,a,21.3,150,22.5,150.8,-0.2,1.2,0.8,95,3.4,yes,28.04,1.5,yes,13,yes,16.3,no,1234,3124,3241,2341,2341,54,32,22,17,18,63,25,40,21,46,
A9,s,a,66.5,197.5,44.2,213.9,7.2,-22.3,16.4,47,1.6,yes,20.31,7.5,yes,9,yes,10,yes,3124,1234,1243,2341,3412,125,53,55,61,46,127,47,40,55,64,
A95,s,a,41,172.6,41.3,179.8,9.7,0.3,7.2,17,3.3,yes,5.39,5.22,yes,12,yes,7,yes,3241,2341,2134,1234,1234,82,42,48,36,34,39,16,33,15,15,
A98,c,a,21.6,202.4,57.7,321.8,17.6,36.1,119.4,412,0,no,100.62,7.76,yes,21,yes,8,yes,13,431,13,413,143,75,61,34,49,30,37,33,08,26,16,
B182,c,b,73.3,202,34.9,79.6,-18.4,-38.4,-122.4,28.44,8.79,yes,75.89,2.67,yes,40.06,no,0,no,132,123,12,1234,1234,366,27,32,56,17,132,55,05,62,22,
B187,c,b,30.5,163.1,43.5,208.3,7,13,45.2,18.22,2.75,yes,25.3,1.25,yes,7.41,yes,11.74,yes,123,1342,1432,1342,1432,141,46,27,34,26,128,28,25,13,30,
B2,s,l,49.52,341.35,25.56,194.66,-38.61,-23.96,-146.69,61.53,2.28,yes,7.7,1.33,yes,10.54,yes,60.04,no,124,1423,,1243,123,51,69,,62,21,81,68,,114,37,14
B205,s,b,18.6,134.5,23.2,146.8,2.7,4.6,12.3,9,3,yes,544,19,no,8.7,yes,4.64,yes,1234,2341,3421,2431,1234,74,36,36,25,27,54,25,24,17,21,
B89,s,b,35.1,234.4,14.2,191.3,-10.4,-20.9,-43.1,22,3.7,yes,9.86,4.03,yes,8,yes,34,yes,2314,4123,1234,11234,142,94,20,27,37,20,97,16,14,24,08,01
B90,c,b,34.9,240.2,22.5,168,27.8,-12.4,-72.2,16.2,2.54,no,97.04,30.47,no,11.18,yes,16.31,yes,2341,1234,4321,1432,1432,141,58,52,19,21,313,91,22,28,44,18
B98,c,b,28.2,222,45.9,312.5,13.3,17.7,90.5,213,4.6,yes,38,4,yes,9.69,yes,53.66,no,213,132,214,324,3241,50,24,21,27,42,57,23,44,42,65,
B98L,s,l,22.88,291.9,16.33,266.63,-6.34,-6.55,-25.27,2.56,2.09,yes,13.59,2.67,yes,23.32,yes,53.66,no,1432,2143,1234,1234,1423,37,25,29,28,19,11,23,14,29,21,03
R17,s,l,16.51,230.55,17.18,184.88,3.74,0.67,-45.67,21.37,3.31,yes,11.59,11.66,yes,6.36,yes,8.07,yes,1243,1234,1243,1432,1234,32,27,19,17,18,07,13,14,09,11,
R18,c,l,10.9,226.47,12.52,223.33,5.95,1.62,-3.14,25.54,6.36,yes,204.34,1.24,yes,5.98,yes,13.77,yes,2341,1432,1342,1234,2431,18,18,09,21,11,83,19,21,16,39,03
R24,s,l,10.25,249.71,13.29,254.76,6,3.04,5.05,6.84,1.32,yes,11.11,2.37,yes,12.14,yes,10.07,yes,3412,2134,214,1324,2431,25,23,11,10,15,17,12,17,16,20,06
Y35,c,l,14.31,269.37,15.48,248.97,8.56,1.17,-20.4,24.69,2.55,yes,19.27,2,yes,42.07,no,0,no,1423,2341,1234,1234,3421,26,12,17,21,15,30,16,13,20,25,
Y47,c,l,20.42,246.49,18.43,227.61,-3.77,-1.99,-18.88,4.94,1.87,yes,23.17,5.03,yes,28.04,yes,11.3,yes,3142,3142,1324,1342,1432,14,20,18,11,19,27,20,25,28,11,03
Y48,c,l,20.29,155.11,22.55,183.16,5.27,2.27,28.05,306,0,no,142.63,2.37,yes,49.01,yes,28.3,yes,231,1234,1234,1234,1324,25,31,25,23,32,31,34,55,13,17,
Y60,s,l,21.68,177.93,26.71,281.9,25.95,5.03,103.97,600,0,no,40.06,2,yes,9.4,yes,10.92,yes,1432,341,1234,413,143,62,30,34,30,16,45,48,25,18,28,03
